root             10699  17.4  0.4 435340704  33392   ??  Rs    7:44AM   0:00.14 /System/Library/PrivateFrameworks/XprotectFramework.framework/Versions/A/XPCServices/XprotectService.xpc/Contents/MacOS/XprotectService
root               210  10.7  0.2 435347104  14992   ??  Ss   Tue08PM   5:21.70 /usr/libexec/airportd
root               260   4.2  0.2 435439072  14080   ??  Us   Tue08PM   1:05.68 /usr/libexec/syspolicyd
root                 1   2.4  0.1 435245648  11856   ??  Ss   Tue08PM   1:25.09 /sbin/launchd
root               369   1.9  0.1 435347312   8336   ??  Ss   Tue08PM   0:10.94 /usr/libexec/wifip2pd
root                91   1.4  0.1 435435168   9536   ??  Ss   Tue08PM   1:29.08 /usr/libexec/logd
root               220   0.4  0.0 435340464   3552   ??  Ss   Tue08PM   0:04.06 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/authd.xpc/Contents/MacOS/authd
root                95   0.4  0.1 435313376   4912   ??  Ss   Tue08PM   0:55.22 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd
root               132   0.3  0.1 435347472   9088   ??  Ss   Tue08PM   0:26.38 /usr/libexec/opendirectoryd
root               165   0.2  0.0 435306624   3696   ??  Ss   Tue08PM   0:24.30 /usr/sbin/cfprefsd daemon
root               138   0.2  0.0 435340176   4016   ??  Ss   Tue08PM   0:06.32 /usr/sbin/securityd -i
root               135   0.1  0.1 435340480   5376   ??  Ss   Tue08PM   0:06.09 /System/Library/CoreServices/launchservicesd
root               158   0.1  0.0 435304896   3088   ??  Ss   Tue08PM   0:21.60 /usr/sbin/notifyd
root              9227   0.0  0.0 435306112   1888   ??  Ss    7:20AM   0:00.03 /usr/libexec/online-auth-agent
root              9149   0.0  0.0 435312912   2272   ??  Ss    7:19AM   0:00.12 /System/Library/PrivateFrameworks/AssetCacheServicesExtensions.framework/XPCServices/AssetCacheTetheratorService.xpc/Contents/MacOS/AssetCacheTetheratorService
root              9139   0.0  0.0 435305136   2528   ??  Ss    7:19AM   0:00.04 /usr/libexec/usermanagerd -t 15
root              9131   0.0  0.0 435304992   2480   ??  Ss    7:19AM   0:00.04 /System/Library/PrivateFrameworks/PackageKit.framework/Resources/installd
root              9129   0.0  0.0 435305120   2496   ??  Ss    7:19AM   0:00.04 /System/Library/PrivateFrameworks/PackageKit.framework/Resources/system_installd
root              9128   0.0  0.1 435339232   4576   ??  Ss    7:19AM   0:00.22 /System/Library/PrivateFrameworks/CloudKitDaemon.framework/Support/cloudd --system
root              9126   0.0  0.0 435305520   1824   ??  Ss    7:19AM   0:00.03 /System/Library/PrivateFrameworks/CacheDelete.framework/deleted_helper
root              9124   0.0  0.0 435366768   1632   ??  Ss    7:19AM   0:00.02 /System/Library/Frameworks/NetFS.framework/Versions/A/XPCServices/PlugInLibraryService.xpc/Contents/MacOS/PlugInLibraryService
root              8330   0.0  0.0 435305488   2080   ??  Ss    7:19AM   0:00.10 /usr/libexec/logd_helper
root              8139   0.0  0.0 435305136   1376   ??  Ss    7:19AM   0:00.04 /System/Library/PrivateFrameworks/CoreSymbolication.framework/coresymbolicationd
root              8068   0.0  0.0 435301968   3024   ??  Ss    7:19AM   0:00.03 /System/Library/CoreServices/ReportCrash daemon
root              7930   0.0  0.1 435344608   4464   ??  Ss    7:19AM   0:00.27 /System/Library/PrivateFrameworks/XprotectFramework.framework/Versions/A/XPCServices/XProtectBridgeService.xpc/Contents/MacOS/XProtectBridgeService
root              7929   0.0  0.0 435344576   3824   ??  Ss    7:19AM   0:00.12 /System/Library/PrivateFrameworks/CloudTelemetry.framework/Versions/A/XPCServices/CloudTelemetryService.xpc/Contents/MacOS/CloudTelemetryService
